team,elo
Greenland,1460.7977069151032
Dominican Republic,1460.2899835052576
Papua New Guinea,1455.9275514184542
Guyana,1452.3484636547132
Kyrgyzstan,1451.8273379045534
Kiribati,1451.6940726303603
Hitra,1451.6527719645824
Sierra Leone,1450.8746668215133
Lebanon,1450.7106114942785
Namibia,1443.6655459115461
Yemen DPR,1443.5182784336953
French Guiana,1443.3953158574384
Zimbabwe,1442.7295509365067
Rwanda,1441.9814002769706
Comoros,1440.160709260672
Wallis Islands and Futuna,1439.653243483017
Nicaragua,1439.118984394656
Zanzibar,1434.5342709444615
Sudan,1432.8560731193863
Cuba,1432.2286884965827
Niger,1431.722525238091
Malawi,1429.9620870129397
Tanzania,1429.7129671782282
Turkmenistan,1428.8714421399684
Sint Maarten,1428.0517054121458
Saare County,1425.0488738689064
Ethiopia,1423.3088876023135
Mauritania,1422.2622807044606
Tibet,1421.6531367658074
Armenia,1420.9876618135138
Botswana,1420.2489346760192
Tuvalu,1420.098043505542
Liberia,1420.0407468354306
Estonia,1418.4601747857357
Saint Kitts and Nevis,1417.4552279644377
Kazakhstan,1416.0855243142396
Bermuda,1415.8868365905078
Congo,1415.3808011735987
Puerto Rico,1410.0531693538774
Falkland Islands,1410.0159818878858
Frøya,1409.9587799606722
Samoa,1409.6844949326294
Bonaire,1407.2401564856439
Saint Martin,1405.5464866229365
Burundi,1399.3789128229212
Guinea-Bissau,1396.567257509527
Saint Vincent and the Grenadines,1394.7470648459005
Lesotho,1391.9408240408577
Hong Kong,1391.77898577461
Singapore,1390.793593950818
India,1383.9234587463318
Azerbaijan,1381.1182391406687
Philippines,1378.977901566422
Central African Republic,1376.9019267582055
Cyprus,1376.7594339939903
Grenada,1374.2931416602523
Montserrat,1371.8355447207748
Northern Mariana Islands,1371.4796294866117
Belize,1369.2674099119106
Saint Lucia,1364.3065414820294
Luxembourg,1361.5123437175948
Antigua and Barbuda,1361.4851332731444
Cook Islands,1359.2801541203735
South Sudan,1357.9264777498415
Latvia,1353.997292579345
Tonga,1351.2680337448437
Eritrea,1349.284576896219
Faroe Islands,1346.3649321330051
Yemen,1345.490728466441
Eswatini,1343.3964416468782
Lithuania,1339.1348327423718
Afghanistan,1337.9965206683687
Chad,1334.0839516374315
Turks and Caicos Islands,1332.2625874004568
Aruba,1325.1641461618315
Barbados,1322.9961486123118
Dominica,1321.3444108877704
Malta,1315.9568625669667
São Tomé and Príncipe,1314.3897678176295
Bahamas,1310.4741590754745
American Samoa,1310.2588561935822
Moldova,1308.8982910792274
Myanmar,1307.639081399415
Mauritius,1307.1294959446643
Cayman Islands,1298.4048646910342
Bangladesh,1285.232025381977
Gibraltar,1276.542069368437
Nepal,1276.4260515492429
United States Virgin Islands,1273.6423144446242
British Virgin Islands,1263.3516321231523
Maldives,1263.310351495892
Mongolia,1263.242062419182
Taiwan,1253.3918192470594
Alderney,1249.0629772167222
Guam,1248.0355710958581
Cambodia,1234.3317141812033
Somalia,1227.692868355279
Pakistan,1227.2533032324259
Anguilla,1221.5087318278622
Djibouti,1219.6286670512272
Sri Lanka,1207.6535736104483
Seychelles,1205.7082258990108
Laos,1198.6520850324325
Brunei,1198.5831171762295
Andorra,1196.025948526582
Bhutan,1184.1719071474188
Timor-Leste,1177.4463308831014
Macau,1173.2202288937654
Liechtenstein,1145.0951157181623
San Marino,1069.1270682547708
